No,Judul,Tanggal,Rincian,Dokumentasi
1,Pembekalan Tematik Inovasi Daerah Khusus Kabupaten Sidrap,18 Desember 2025Jam: 16:00 - 18:00 JKEM: 2.00,"Mengikuti pembekalan materi tematik mengenai program inovasi daerah khusus di Kabupaten Sidrap. Pembekalan ini membahas pemetaan potensi daerah, masalah-masalah pembangunan lokal, serta arahan dari para fasilitator KKN untuk memastikan program kerja mahasiswa tepat sasaran dan berdampak nyata bagi masyarakat setempat.",https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-10_123142.415956.jpeg
2,Mengikuti Pelepasan dan Pembekalan umum KKN,20 Desember 2025Jam: 07:00 - 12:00 JKEM: 5.00,"Menghadiri upacara pelepasan dan pembekalan umum mahasiswa KKN Gelombang 115 secara serentak di Universitas Hasanuddin. Acara ini dihadiri oleh jajaran pimpinan universitas dan pengelola UPT KKN untuk memberikan pengarahan terkait kode etik, keselamatan, serta misi pengabdian masyarakat.",https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-10_123148.990730.jpeg
3,Pemberangkatan KKN115 ke Desa Kalosi.,23 Desember 2025Jam: 08:00 - 17:00 JKEM: 9.00,"Melaksanakan perjalanan pemberangkatan dari titik kumpul di kampus Universitas Hasanuddin menuju lokasi posko KKN di Desa Kalosi, Kecamatan Dua Pitue, Kabupaten Sidrap. Perjalanan ini dilakukan bersama seluruh rekan posko menggunakan transportasi bus yang disediakan universitas dan tiba dengan selamat di desa tujuan.",https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-10_123152.454420.jpg
4,Rapat koordinasi bersama pemerintah desa,24 Desember 2025Jam: 09:00 - 12:00 JKEM: 3.00,"Melaksanakan rapat koordinasi awal bersama Kepala Desa, Sekretaris Desa, dan seluruh jajaran pemerintah Desa Kalosi. Pertemuan ini bertujuan untuk memperkenalkan diri selaku mahasiswa KKN, mendiskusikan kondisi umum desa, potensi wilayah, serta menyepakati lokasi posko utama.",https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-10_123156.962287.jpg
5,Pemasangan Spanduk KKN di Posko,25 Desember 2025Jam: 08:30 - 09:20 JKEM: 1.00,Melakukan pemasangan spanduk identitas KKN Universitas Hasanuddin Gelombang 115 di area luar posko. Kegiatan ini berfungsi sebagai tanda keberadaan mahasiswa KKN di Desa Kalosi sekaligus memudahkan warga desa yang ingin berkoordinasi atau mengunjungi posko.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-10_123204.302798.jpg
6,Observasi Tempat Ketahanan Pangan Desa Kalosi,26 Desember 2025Jam: 07:30 - 08:10 JKEM: 1.00,"Melakukan observasi lapangan langsung ke lokasi ketahanan pangan Desa Kalosi. Observasi ini berfokus pada analisis ketersediaan sumber daya pangan desa, metode pengelolaan lahan pertanian, serta peluang integrasi teknologi digital untuk meningkatkan hasil produksi.",https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-10_123222.565413.jpg
7,Evaluasi Mengenai proker Individu bersama teman posko,27 Desember 2025Jam: 10:20 - 12:00 JKEM: 2.00,Mengadakan rapat evaluasi internal bersama teman posko untuk mendiskusikan kemajuan perancangan program kerja individu. Rapat ini bertujuan untuk menyinkronkan jadwal pelaksanaan agar masing-masing program kerja tidak saling tumpang tindih.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-10_123228.277111.jpeg
8,"Diskusi Seminar Proker Utama, Proker Individu bersama Sekdes Kalosi",27 Desember 2025Jam: 21:00 - 23:59 JKEM: 3.00,Melakukan diskusi intensif bersama Sekretaris Desa Kalosi mengenai draf program kerja utama kelompok (seperti Bank Sampah) dan program kerja individu (pengembangan website BUMDes). Rapat ini menghasilkan masukan penting terkait kebutuhan promosi produk BUMDes.,https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-21_091616.406576.jpg
9,Diskusi Seminar Program Kerja bersama Sekdes Kalosi,28 Desember 2025Jam: 21:00 - 23:58 JKEM: 3.00,"Melanjutkan diskusi mendalam bersama Sekretaris Desa Kalosi untuk merincikan sasaran, jadwal, dan pembagian peran dalam seminar program kerja yang akan dilaksanakan di kantor desa.",https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-21_091616.370335.jpg
10,Persiapan Seminar Program Kerja,29 Desember 2025Jam: 21:00 - 23:45 JKEM: 3.00,"Mempersiapkan materi presentasi dan kelengkapan dokumen pendukung untuk Seminar Program Kerja. Selain itu, kami menyebarkan undangan fisik kepada perangkat desa, tokoh adat, tokoh agama, dan perwakilan masyarakat Desa Kalosi.",https://sipbpm.unhas.ac.id/media/logbook/2026/H071231056/npc_number_2026-01-10_123247.825160.jpeg
